,Reporting_Year,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
0,2019 and 2020,BK09,3,196,358.9386792,37.74271845,26654.89861,135.9943807,31,328.4505495,70.115625,4674.529617,150.791278,227,0.136563877
1,2020 and 2021,BK09,3,200,470.0769231,58.11204365,28062.0894,140.310447,55,358.9386792,70.115625,7831.43866,142.3897938,255,0.215686275
2,2020 and 2021,BK17,3,416,589.7983595,23.04761905,37443.3037,90.0079416,66,195.48,19.23076923,5656.853017,85.70989419,482,0.136929461
3,2019 and 2020,BK17,3,443,589.7983595,25.5,39275.95456,88.65903963,55,195.48,23.04761905,4920.388728,89.46161323,498,0.110441767
4,2019 and 2020,BK19,3,270,483.375,29.87671233,28643.94077,106.0886695,33,165.7760091,18.57753204,2523.293001,76.46342426,303,0.108910891
5,2020 and 2021,BK19,3,254,483.375,29.87671233,25803.16682,101.587271,22,141.6375,22.07142857,1873.770333,85.17137877,276,0.079710145
6,2019 and 2020,BK21,3,109,402.6459854,14.63333333,8632.937649,79.20126283,4,95.47339632,24.39655172,239.7934739,59.94836848,113,0.03539823
7,2020 and 2021,BK21,3,142,402.6459854,24.39655172,10057.56697,70.82793641,10,68.82,17.06100342,474.6811239,47.46811239,152,0.065789474
8,2019 and 2020,BK23,3,45,116.901,30.13359375,3076.943496,68.37652214,10,116.901,67.19951923,921.6861613,92.16861613,55,0.181818182
9,2020 and 2021,BK23,3,31,105.062173,30.13359375,1768.636585,57.05279305,12,105.062173,67.19951923,1124.83765,93.73647085,43,0.279069767
10,2020 and 2021,BK25,3,385,356.3372093,16.72826087,31751.73331,82.47203457,52,227.9093023,16.068,4202.968659,80.82632037,437,0.118993135
11,2019 and 2020,BK25,3,375,356.3372093,16.72826087,31684.14031,84.49104082,46,227.9093023,18.74545455,3627.635132,78.86163331,421,0.109263658
12,2020 and 2021,BK26,3,102,370.8154506,27.55970149,7406.697918,72.61468547,11,98.28947368,24.42592593,681.4073612,61.94612375,113,0.097345133
13,2019 and 2020,BK26,3,114,370.8154506,37.27049202,9013.966804,79.06988424,6,168.9570552,49.98383969,530.1067001,88.35111669,120,0.05
14,2020 and 2021,BK27,3,141,338.3351405,24.61538462,11389.32911,80.77538375,7,154.2802385,24.37151703,495.5433052,70.79190074,148,0.047297297
15,2019 and 2020,BK27,3,144,338.3351405,24.61538462,11722.2425,81.40446181,13,120.3967742,23.22272727,840.5273909,64.65595315,157,0.082802548
16,2020 and 2021,BK28,3,592,507.9719388,20.475,48785.34547,82.40767816,57,274.9821429,24.53515809,3873.86973,67.96262684,649,0.087827427
17,2019 and 2020,BK28,3,585,507.9719388,16.91584158,48147.34492,82.3031537,45,274.9821429,23.83636364,3478.277508,77.29505574,630,0.071428571
18,2020 and 2021,BK29,3,339,549.140625,18.18336163,25517.47672,75.27279268,43,138.3759275,30.99827586,3247.226779,75.51690183,382,0.112565445
19,2019 and 2020,BK29,3,332,549.140625,18.18336163,24523.44086,73.86578572,37,138.3759275,24.89361702,3038.455916,82.12043015,369,0.100271003
20,2020 and 2021,BK30,3,194,462.001524,24.45,15231.15291,78.51109749,24,128.625,25.95384615,1577.094373,65.71226555,218,0.110091743
21,2019 and 2020,BK30,3,178,462.001524,24.3,13790.38974,77.47409967,19,140.8636364,39.11087038,1532.922047,80.68010775,197,0.096446701
22,2020 and 2021,BK31,3,596,409.6328539,20.78504776,52042.35816,87.31939288,83,345.5433658,10.97222222,6215.30396,74.88318024,679,0.122238586
23,2019 and 2020,BK31,3,694,537.5322581,20.78504776,59340.4585,85.50498342,72,265.734375,10.97222222,5115.92383,71.05449764,766,0.093994778
